14/15,Minnesota Timberwolves,406,1223,2580,5597,1638,2110,949,2406,1771,668,327,1231,1571,8016
14/15,Indiana Pacers,612,1740,2386,5084,1373,1817,856,2822,1757,505,375,1147,1742,7981
14/15,Orlando Magic,554,1598,2522,5194,1141,1565,822,2607,1692,647,314,1221,1714,7847
14/15,Utah Jazz,610,1781,2290,4711,1391,1929,988,2617,1632,623,489,1256,1583,7801
14/15,Miami Heat,556,1659,2329,4671,1438,1940,747,2461,1626,642,372,1214,1636,7764
14/15,Charlotte Hornets/Bobcats,498,1566,2415,5366,1397,1867,820,2793,1654,499,448,976,1494,7721
14/15,Philadelphia 76ers,692,2160,2073,4617,1320,1953,978,2536,1683,789,487,1453,1778,7542
14/15,New York Knicks,560,1614,2322,5112,1211,1575,867,2443,1746,575,382,1206,1768,7535
13/14,Los Angeles Clippers,693,1966,2515,4795,1741,2384,858,2668,2016,703,397,1136,1767,8850
13/14,Houston Rockets,779,2179,2339,4424,1814,2549,920,2797,1755,621,461,1323,1676,8829
13/14,Minnesota Timberwolves,600,1757,2589,5418,1790,2301,1024,2644,1963,718,297,1142,1504,8768
13/14,Portland Trail Blazers,770,2071,2437,5063,1569,1926,1022,2786,1904,454,387,1125,1576,8753
13/14,Oklahoma City Thunder/Seattle SuperSonics,664,1839,2530,4943,1653,2052,887,2781,1794,678,501,1256,1858,8705
13/14,San Antonio Spurs,698,1757,2628,5087,1289,1642,762,2786,2064,604,420,1180,1495,8639
13/14,Phoenix Suns,765,2055,2407,4790,1520,2004,928,2601,1563,688,374,1258,1798,8629
13/14,Dallas Mavericks,721,1877,2528,4981,1378,1733,840,2514,1935,704,356,1110,1636,8597
13/14,Denver Nuggets,702,1959,2445,5083,1563,2154,1009,2717,1838,615,459,1305,1890,8559
13/14,Golden State Warriors,774,2037,2462,4968,1303,1731,896,2819,1912,642,407,1247,1784,8549
13/14,Los Angeles Lakers,774,2032,2365,4948,1390,1835,745,2620,2006,611,446,1239,1627,8442
13/14,Miami Heat,665,1829,2477,4443,1431,1884,627,2397,1847,732,367,1212,1596,8380
13/14,Toronto Raptors,713,1917,2279,4801,1608,2055,935,2552,1737,577,343,1159,1882,8305
13/14,Detroit Pistons,507,1580,2675,5544,1415,2111,1196,2525,1714,687,395,1193,1666,8286
13/14,Atlanta Hawks,768,2116,2293,4572,1392,1782,713,2565,2041,680,326,1251,1577,8282
13/14,Washington Wizards,647,1704,2530,5216,1253,1715,886,2573,1909,668,377,1204,1675,8254
13/14,Sacramento Kings,491,1475,2535,5291,1698,2237,990,2656,1547,587,318,1249,1849,8241
13/14,New Orleans/Oklahoma City/New Orleans Pelicans/Hornets,486,1303,2615,5458,1489,1936,933,2486,1745,647,523,1129,1857,8177
13/14,Philadelphia 76ers,577,1847,2531,5303,1362,1918,949,2556,1791,765,330,1384,1844,8155
13/14,New York Knicks,759,2038,2268,4701,1271,1670,870,2437,1641,631,367,1063,1815,8084
13/14,Brooklyn/New Jersey Nets,709,1922,2222,4469,1508,2002,721,2407,1714,705,311,1191,1777,8079
13/14,Cleveland Cavaliers,584,1640,2452,5315,1398,1861,989,2629,1738,579,304,1163,1640,8054
13/14,Charlotte Hornets/Bobcats,516,1471,2460,5259,1474,2000,776,2724,1778,499,421,1010,1493,7942
13/14,Indiana Pacers,550,1542,2399,5031,1485,1907,834,2831,1651,550,446,1237,1675,7933
13/14,Orlando Magic,563,1596,2459,5188,1307,1714,794,2654,1726,630,350,1222,1678,7914
13/14,Boston Celtics,575,1729,2421,5154,1325,1706,980,2505,1726,584,343,1261,1743,7892
13/14,Memphis Grizzlies,405,1147,2717,5576,1235,1666,950,2526,1792,631,375,1124,1568,7884
13/14,Milwaukee Bucks,548,1553,2404,5184,1377,1843,971,2399,1760,541,403,1238,1713,7829
13/14,Utah Jazz,543,1577,2408,5075,1346,1803,904,2477,1664,570,366,1200,1699,7791
13/14,Chicago Bulls,508,1459,2335,5118,1486,1908,937,2683,1860,594,424,1223,1565,7680
12/13,Denver Nuggets,521,1518,2818,5465,1505,2148,1092,2601,2002,762,533,1253,1682,8704
12/13,Houston Rockets,867,2369,2257,4413,1573,2087,909,2652,1902,679,359,1348,1662,8688
12/13,Oklahoma City Thunder/Seattle SuperSonics,598,1588,2528,4916,1819,2196,854,2725,1753,679,624,1253,1654,8669
12/13,San Antonio Spurs,663,1764,2547,4911,1365,1725,666,2721,2058,695,446,1206,1427,8448
12/13,Miami Heat,717,1809,2431,4539,1423,1887,676,2490,1890,710,441,1143,1533,8436
12/13,Los Angeles Lakers,715,2015,2326,4625,1584,2289,942,2732,1818,576,429,1232,1467,8381
12/13,Golden State Warriors,658,1632,2472,5208,1378,1744,885,2801,1845,567,346,1236,1753,8296
12/13,Dallas Mavericks,606,1628,2576,5264,1323,1669,767,2670,1906,648,454,1144,1698,8293
12/13,Los Angeles Clippers,627,1752,2533,4856,1342,1888,938,2475,1958,784,461,1197,1716,8289
12/13,Sacramento Kings,610,1681,2476,5223,1437,1869,943,2385,1708,671,342,1199,1717,8219
12/13,New York Knicks,891,2371,2105,4318,1313,1729,890,2436,1579,672,294,988,1650,8196
12/13,Milwaukee Bucks,601,1670,2527,5527,1251,1700,1068,2537,1876,685,550,1156,1554,8108
12/13,Utah Jazz,507,1385,2539,5325,1439,1883,989,2457,1859,690,515,1210,1750,8038
12/13,Atlanta Hawks,706,1901,2378,4743,1158,1619,758,2593,2007,664,369,1219,1473,8032
12/13,Portland Trail Blazers,673,1904,2336,4811,1304,1680,874,2474,1784,538,353,1203,1518,7995
12/13,Toronto Raptors,571,1665,2408,5020,1442,1831,871,2426,1765,595,392,1124,1836,7971
12/13,Brooklyn/New Jersey Nets,628,1760,2314,4784,1432,1958,1047,2460,1668,599,391,1206,1500,7944
